horizon,mse,rmse,mae,mape,mdape,smape,coverage
231 days,0.028637077673256264,0.16922493218570442,0.1346329727330462,1.021395204338635,0.5816967299033831,0.8988476191117162,0.69625
232 days,0.027833079765639694,0.1668324901379815,0.13228478559747103,0.9793498538269422,0.5512519678732375,0.8723341987511983,0.69875
233 days,0.028202379183276772,0.16793564000317732,0.13341689024402595,0.9638829076888143,0.5384639225795662,0.8509372205369578,0.68375
234 days,0.02745443225191717,0.16569379062571166,0.13012715183489224,0.9390971363539335,0.481986781855375,0.7944809470053609,0.68375
235 days,0.028607670384772597,0.16913802170054076,0.1327258440708145,0.9160240738194783,0.4670166042356374,0.7460958931681485,0.67
236 days,0.027831903018285177,0.16682896336753153,0.1302770439903217,0.8773400942574585,0.43577265152697625,0.7053370408228546,0.6825
237 days,0.02660826289725108,0.16312039387290322,0.12675749446749898,0.8634955656996083,0.4226875466660323,0.6835306200313082,0.695625
238 days,0.026123899878102236,0.16162889555429819,0.1262078986353054,0.8969090772205658,0.4242542763556975,0.6894900718454602,0.69375
239 days,0.025311987318493913,0.15909741455628346,0.1251797615541269,0.9025917004608821,0.4151393063947303,0.692637471727675,0.696875
240 days,0.025658169344853585,0.16018167605832317,0.12626991597492862,0.8671391176677904,0.4151393063947303,0.6910664914060335,0.6925
241 days,0.02518236502789764,0.1586895240017363,0.12497856949603023,0.8618330890185975,0.399757964830014,0.6895025396729041,0.70375
242 days,0.025245740431781436,0.15888908216671602,0.12451121618030044,0.8475288593837906,0.3904556565476124,0.6812270320925329,0.710625
243 days,0.025619956087929247,0.16006235062602714,0.12557804598731903,0.843412740347149,0.3938405163123454,0.6884004694186362,0.7125
244 days,0.02575782492811315,0.16049244508111013,0.12570832928456638,0.8351384423419518,0.3904556565476124,0.6887900305619205,0.71375
245 days,0.02579629444768003,0.1606122487473481,0.1257610710066931,0.8357689181203544,0.3938405163123454,0.6898218565131294,0.71625
246 days,0.026061524063546348,0.16143582026163322,0.1266076706053026,0.8538145529019713,0.4087067915624898,0.6990514291649851,0.72
247 days,0.02492580502985282,0.15787908357300792,0.12483194575800446,0.8393828898404655,0.4151393063947303,0.6965582654705108,0.725
248 days,0.024074849192950096,0.15516072052214147,0.12295641807930008,0.8321115628957293,0.4151393063947303,0.6943753731910121,0.7314285714285714
249 days,0.02407127503135826,0.15514920248379707,0.12340055761876273,0.8456332361074561,0.4256456276115026,0.7015716965388279,0.7292857142857143
250 days,0.02387500973020949,0.15451540288983973,0.1230552025471796,0.8374456028672475,0.4289830679165564,0.6986609269459352,0.73375
251 days,0.023626231292778455,0.15370826683291453,0.1220334589301562,0.8271444123538448,0.4202448231722691,0.6923050501329598,0.73875
252 days,0.02361211588343024,0.15366234373922014,0.12231332147357288,0.9863947582212318,0.43577265152697625,0.7085479986409069,0.7325
253 days,0.02453659667987289,0.15664161860716613,0.12443026961998055,1.013732376310567,0.44422729286532814,0.7376063318453994,0.72625
254 days,0.02419937161020106,0.15556147212661964,0.1238875658495107,1.0177673662727924,0.45993394940641147,0.7579726844995082,0.72875
255 days,0.023552341246021583,0.15346772053438984,0.12158350466804312,1.0116670574252657,0.45993394940641147,0.7690726862509978,0.7375
256 days,0.023765381015137147,0.15416024460001726,0.12256739427546826,1.0237559490231931,0.47370480591782527,0.8021413305118363,0.735
257 days,0.023993907734608633,0.1548996698983204,0.12317188795005764,1.0317560743290235,0.5211601770816543,0.8293945481458735,0.73375
258 days,0.023848594804282405,0.15442990255867678,0.1221458092208399,1.0478100980720706,0.5211601770816543,0.8469710795948409,0.735
