ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
1880-03-01,-0.19494862586368272,-0.3812488744790188,-0.02406181783070822,-0.19494862586368272,-0.19494862586368272,-0.007505201610692253,-0.007505201610692253,-0.007505201610692253,-0.007505201610692253,-0.007505201610692253,-0.007505201610692253,0.0,0.0,0.0,-0.202453827474375,-0.11
1880-04-01,-0.19516534667917929,-0.4000244381852462,-0.04366096796451712,-0.19516534667917929,-0.19516534667917929,-0.023202583756194183,-0.023202583756194183,-0.023202583756194183,-0.023202583756194183,-0.023202583756194183,-0.023202583756194183,0.0,0.0,0.0,-0.21836793043537348,-0.15
1880-05-01,-0.19537507650062758,-0.3501800778439761,-0.023415765327626074,-0.19537507650062758,-0.19537507650062758,0.007834929681472027,0.007834929681472027,0.007834929681472027,0.007834929681472027,0.007834929681472027,0.007834929681472027,0.0,0.0,0.0,-0.18754014681915554,-0.07
1880-06-01,-0.19559179731612417,-0.3314498250732947,-0.021058351099758475,-0.19559179731612417,-0.19559179731612417,0.00853899821726647,0.00853899821726647,0.00853899821726647,0.00853899821726647,0.00853899821726647,0.00853899821726647,0.0,0.0,0.0,-0.1870527990988577,-0.2
1880-07-01,-0.19580152713757248,-0.35266950158715893,-0.014398478389319102,-0.19580152713757248,-0.19580152713757248,0.017836382349456493,0.017836382349456493,0.017836382349456493,0.017836382349456493,0.017836382349456493,0.017836382349456493,0.0,0.0,0.0,-0.17796514478811598,-0.23
1880-08-01,-0.19601824795306905,-0.33353601460174187,-0.0010511916485269313,-0.19601824795306905,-0.19601824795306905,0.028992756111890335,0.028992756111890335,0.028992756111890335,0.028992756111890335,0.028992756111890335,0.028992756111890335,0.0,0.0,0.0,-0.1670254918411787,-0.14
1880-09-01,-0.1962349687685656,-0.32110198617763186,0.0038107826539453774,-0.1962349687685656,-0.1962349687685656,0.025388700653686418,0.025388700653686418,0.025388700653686418,0.025388700653686418,0.025388700653686418,0.025388700653686418,0.0,0.0,0.0,-0.17084626811487919,-0.17
1880-10-01,-0.1964446985900139,-0.3710207866059205,-0.04006017182070909,-0.1964446985900139,-0.1964446985900139,-0.01114586211171368,-0.01114586211171368,-0.01114586211171368,-0.01114586211171368,-0.01114586211171368,-0.01114586211171368,0.0,0.0,0.0,-0.20759056070172757,-0.31
1880-11-01,-0.1966614194055105,-0.3731379745946055,-0.04592470224733307,-0.1966614194055105,-0.1966614194055105,-0.014222123725027035,-0.014222123725027035,-0.014222123725027035,-0.014222123725027035,-0.014222123725027035,-0.014222123725027035,0.0,0.0,0.0,-0.21088354313053753,-0.18
1880-12-01,-0.19687114922695875,-0.3599116091252028,-0.029518051056078794,-0.19687114922695875,-0.19687114922695875,0.0006980264994661034,0.0006980264994661034,0.0006980264994661034,0.0006980264994661034,0.0006980264994661034,0.0006980264994661034,0.0,0.0,0.0,-0.19617312272749265,-0.17
