,ds,y
716,1909-09-01,-0.36
717,1909-10-01,-0.39
718,1909-11-01,-0.38
719,1909-12-01,-0.42
720,1910-01-01,-0.3
721,1910-02-01,-0.35
722,1910-03-01,-0.52
723,1910-04-01,-0.37
724,1910-05-01,-0.31
725,1910-06-01,-0.32
726,1910-07-01,-0.3
727,1910-08-01,-0.36
728,1910-09-01,-0.38
729,1910-10-01,-0.44
730,1910-11-01,-0.51
731,1910-12-01,-0.61
732,1911-01-01,-0.55
733,1911-02-01,-0.55
734,1911-03-01,-0.59
735,1911-04-01,-0.51
736,1911-05-01,-0.46
737,1911-06-01,-0.45
738,1911-07-01,-0.41
739,1911-08-01,-0.44
740,1911-09-01,-0.39
741,1911-10-01,-0.32
742,1911-11-01,-0.17
743,1911-12-01,-0.13
744,1912-01-01,-0.24
745,1912-02-01,-0.18
746,1912-03-01,-0.32
747,1912-04-01,-0.2
748,1912-05-01,-0.18
749,1912-06-01,-0.18
750,1912-07-01,-0.38
751,1912-08-01,-0.43
752,1912-09-01,-0.52
753,1912-10-01,-0.54
754,1912-11-01,-0.38
755,1912-12-01,-0.45
756,1913-01-01,-0.34
757,1913-02-01,-0.41
758,1913-03-01,-0.39
759,1913-04-01,-0.35
760,1913-05-01,-0.4
761,1913-06-01,-0.4
762,1913-07-01,-0.33
763,1913-08-01,-0.31
764,1913-09-01,-0.34
765,1913-10-01,-0.33
766,1913-11-01,-0.25
767,1913-12-01,-0.07
768,1914-01-01,0.05
769,1914-02-01,-0.06
770,1914-03-01,-0.18
771,1914-04-01,-0.29
772,1914-05-01,-0.2
773,1914-06-01,-0.22
774,1914-07-01,-0.24
775,1914-08-01,-0.18
776,1914-09-01,-0.18
777,1914-10-01,-0.11
778,1914-11-01,-0.12
779,1914-12-01,0.1
780,1915-01-01,-0.17
781,1915-02-01,-0.01
782,1915-03-01,-0.05
783,1915-04-01,0.08
784,1915-05-01,0.1
785,1915-06-01,-0.11
786,1915-07-01,-0.06
787,1915-08-01,-0.11
788,1915-09-01,-0.19
789,1915-10-01,-0.21
790,1915-11-01,-0.13
791,1915-12-01,-0.24
792,1916-01-01,-0.2
793,1916-02-01,-0.16
794,1916-03-01,-0.26
795,1916-04-01,-0.24
796,1916-05-01,-0.26
797,1916-06-01,-0.36
798,1916-07-01,-0.31
799,1916-08-01,-0.27
800,1916-09-01,-0.28
801,1916-10-01,-0.3
802,1916-11-01,-0.4
803,1916-12-01,-0.7
804,1917-01-01,-0.6
805,1917-02-01,-0.64
806,1917-03-01,-0.64
807,1917-04-01,-0.51
808,1917-05-01,-0.53
809,1917-06-01,-0.41
810,1917-07-01,-0.26
811,1917-08-01,-0.22
812,1917-09-01,-0.21
813,1917-10-01,-0.38
814,1917-11-01,-0.33
815,1917-12-01,-0.48
816,1918-01-01,-0.44
817,1918-02-01,-0.39
818,1918-03-01,-0.28
819,1918-04-01,-0.41
820,1918-05-01,-0.4
821,1918-06-01,-0.34
822,1918-07-01,-0.28
823,1918-08-01,-0.29
824,1918-09-01,-0.16
825,1918-10-01,-0.1
826,1918-11-01,-0.08
827,1918-12-01,-0.26
828,1919-01-01,-0.15
829,1919-02-01,-0.19
830,1919-03-01,-0.19
831,1919-04-01,-0.08
832,1919-05-01,-0.22
833,1919-06-01,-0.3
834,1919-07-01,-0.27
835,1919-08-01,-0.32
836,1919-09-01,-0.24
837,1919-10-01,-0.2
838,1919-11-01,-0.35
839,1919-12-01,-0.38
840,1920-01-01,-0.26
841,1920-02-01,-0.29
842,1920-03-01,-0.11
843,1920-04-01,-0.23
844,1920-05-01,-0.25
845,1920-06-01,-0.28
846,1920-07-01,-0.27
847,1920-08-01,-0.23
848,1920-09-01,-0.18
849,1920-10-01,-0.25
850,1920-11-01,-0.24
851,1920-12-01,-0.43
852,1921-01-01,-0.09
853,1921-02-01,-0.19
854,1921-03-01,-0.23
855,1921-04-01,-0.26
856,1921-05-01,-0.21
857,1921-06-01,-0.23
858,1921-07-01,-0.13
859,1921-08-01,-0.19
860,1921-09-01,-0.18
861,1921-10-01,-0.08
862,1921-11-01,-0.15
863,1921-12-01,-0.15
864,1922-01-01,-0.29
865,1922-02-01,-0.39
866,1922-03-01,-0.11
867,1922-04-01,-0.2
868,1922-05-01,-0.27
869,1922-06-01,-0.24
870,1922-07-01,-0.26
871,1922-08-01,-0.27
872,1922-09-01,-0.3
873,1922-10-01,-0.29
874,1922-11-01,-0.16
875,1922-12-01,-0.2
876,1923-01-01,-0.25
877,1923-02-01,-0.39
878,1923-03-01,-0.33
879,1923-04-01,-0.35
880,1923-05-01,-0.27
881,1923-06-01,-0.21
882,1923-07-01,-0.29
883,1923-08-01,-0.32
884,1923-09-01,-0.26
885,1923-10-01,-0.19
886,1923-11-01,-0.05
887,1923-12-01,-0.1
888,1924-01-01,-0.18
889,1924-02-01,-0.18
890,1924-03-01,-0.07
891,1924-04-01,-0.22
892,1924-05-01,-0.1
893,1924-06-01,-0.22
894,1924-07-01,-0.21
895,1924-08-01,-0.3
896,1924-09-01,-0.29
897,1924-10-01,-0.32
898,1924-11-01,-0.21
899,1924-12-01,-0.37
900,1925-01-01,-0.36
901,1925-02-01,-0.4
902,1925-03-01,-0.26
903,1925-04-01,-0.24
904,1925-05-01,-0.24
905,1925-06-01,-0.28
906,1925-07-01,-0.24
907,1925-08-01,-0.16
908,1925-09-01,-0.13
909,1925-10-01,-0.17
910,1925-11-01,0.02
911,1925-12-01,0.08
912,1926-01-01,0.12
913,1926-02-01,-0.1
914,1926-03-01,0.09
915,1926-04-01,-0.11
916,1926-05-01,-0.16
917,1926-06-01,-0.16
918,1926-07-01,-0.22
919,1926-08-01,-0.12
920,1926-09-01,-0.14
921,1926-10-01,-0.08
922,1926-11-01,-0.06
923,1926-12-01,-0.21
924,1927-01-01,-0.28
925,1927-02-01,-0.19
926,1927-03-01,-0.33
927,1927-04-01,-0.26
928,1927-05-01,-0.2
929,1927-06-01,-0.19
930,1927-07-01,-0.16
931,1927-08-01,-0.14
932,1927-09-01,-0.08
933,1927-10-01,-0.02
934,1927-11-01,-0.05
935,1927-12-01,-0.25
936,1928-01-01,-0.05
937,1928-02-01,-0.1
938,1928-03-01,-0.23
939,1928-04-01,-0.24
940,1928-05-01,-0.17
941,1928-06-01,-0.28
942,1928-07-01,-0.16
943,1928-08-01,-0.19
944,1928-09-01,-0.15
945,1928-10-01,-0.18
946,1928-11-01,-0.11
947,1928-12-01,-0.14
948,1929-01-01,-0.42
949,1929-02-01,-0.49
950,1929-03-01,-0.31
951,1929-04-01,-0.36
952,1929-05-01,-0.31
953,1929-06-01,-0.34
954,1929-07-01,-0.29
955,1929-08-01,-0.23
956,1929-09-01,-0.22
957,1929-10-01,-0.14
958,1929-11-01,-0.12
959,1929-12-01,-0.45
960,1930-01-01,-0.29
961,1930-02-01,-0.26
962,1930-03-01,-0.08
963,1930-04-01,-0.18
964,1930-05-01,-0.16
965,1930-06-01,-0.12
966,1930-07-01,-0.12
967,1930-08-01,-0.1
968,1930-09-01,-0.1
969,1930-10-01,-0.04
970,1930-11-01,0.14
971,1930-12-01,-0.02
972,1931-01-01,-0.07
973,1931-02-01,-0.17
974,1931-03-01,-0.06
975,1931-04-01,-0.15
976,1931-05-01,-0.13
977,1931-06-01,-0.01
978,1931-07-01,0.1
979,1931-08-01,-0.01
980,1931-09-01,-0.1
981,1931-10-01,0.02
982,1931-11-01,-0.09
983,1931-12-01,-0.05
984,1932-01-01,0.1
985,1932-02-01,-0.13
986,1932-03-01,-0.14
987,1932-04-01,-0.04
988,1932-05-01,-0.14
989,1932-06-01,-0.17
990,1932-07-01,-0.15
991,1932-08-01,-0.15
992,1932-09-01,-0.1
993,1932-10-01,-0.1
994,1932-11-01,-0.23
995,1932-12-01,-0.23
996,1933-01-01,-0.26
997,1933-02-01,-0.31
998,1933-03-01,-0.26
999,1933-04-01,-0.21
1000,1933-05-01,-0.25
